Brand,Model,Age,KmDriven,Transmission,Owner,FuelType,Price
Maruti Suzuki,Wagon-R,181,72000,Manual,first,CNG,175000.0
Hyundai,Creta,121,41000,Manual,first,Diesel,1250000.0
Honda,Jazz,169,46000,Manual,first,Petrol,450000.0
Maruti Suzuki,Ertiga,157,87000,Manual,first,Diesel,600000.0
Audi,A4,145,40670,Automatic,second,Diesel,1773999.9999999998
Hyundai,Eon,157,75000,Manual,first,LPG,235000.0
Nissan,Micra,145,86999,Manual,first,Diesel,350000.0
Toyota,Innova,109,36000,Automatic,first,Diesel,1750000.0
Volkswagen,Vento,145,64430,Manual,first,Diesel,520000.0
Tata,Indica,157,65932,Manual,second,Diesel,195000.0
Maruti Suzuki,Ciaz,85,25692,Manual,first,Petrol,994999.9999999999
Honda,City,157,60000,Automatic,first,Petrol,449000.0
Maruti Suzuki,Swift,121,64424,Manual,first,Diesel,560000.0
Land Rover,Range Rover,133,72000,Automatic,first,Diesel,2700000.0
Land Rover,Range Rover,157,85000,Automatic,second,Diesel,1750000.0
Mitsubishi,Pajero,133,110000,Manual,first,Diesel,1500000.0
Honda,Amaze,109,58950,Manual,first,Diesel,540000.0
Maruti Suzuki,Swift,97,25000,Manual,first,Diesel,599000.0
Renault,Duster,133,77469,Manual,first,Diesel,634000.0
Mercedes-Benz,C-Class,133,78500,Automatic,first,Diesel,2800000.0
BMW,3 Series,133,32982,Automatic,first,Diesel,1855000.0
Maruti Suzuki,S-Cross,121,55392,Manual,second,Diesel,825000.0
Audi,A6,121,55985,Automatic,first,Petrol,2350000.0
Hyundai,i20,181,45807,Manual,first,Petrol,187000.0
Volkswagen,Vento,181,33000,Automatic,first,Petrol,285000.0
Honda,City,157,51920,Manual,first,Petrol,425000.0
Nissan,Micra,157,54000,Manual,first,Diesel,425000.0
Maruti Suzuki,Alto,145,54000,Manual,second,Petrol,275000.0
Honda,WRV,85,37430,Manual,first,Petrol,990000.0
Toyota,Innova,217,262000,Manual,fourth & above,Diesel,400000.0
Renault,Duster,145,62000,Manual,first,Diesel,775000.0
Toyota,Corolla,157,87615,Manual,first,Petrol,675000.0
Ssangyong,Rexton,145,72000,Automatic,second,Diesel,1250000.0
Audi,A6,181,35000,Automatic,first,Diesel,1150000.0
Volkswagen,Vento,133,55431,Manual,second,Petrol,698000.0
Maruti Suzuki,Wagon-R,193,83816,Manual,second,Petrol,185000.0
Maruti Suzuki,Vitara-Brezza,85,50075,Manual,first,Diesel,863000.0000000001
Mahindra,KUV100,97,52000,Manual,first,Petrol,484999.99999999994
Mercedes-Benz,M-Class,145,85000,Automatic,first,Diesel,2800000.0
Volkswagen,Polo,145,62000,Manual,first,Diesel,500000.0
Maruti Suzuki,Alto,205,90000,Manual,second,Petrol,125000.0
Tata,Nano,133,19698,Manual,first,Petrol,153000.0
Mahindra,KUV100,97,22033,Manual,first,Diesel,558000.0
Hyundai,i20,133,35487,Manual,first,Petrol,474000.0
Hyundai,Elantra,133,46374,Automatic,first,Petrol,885000.0
Toyota,Corolla,109,52001,Automatic,first,Petrol,1011000.0
Hyundai,Elantra,205,58005,Manual,second,Diesel,425000.0
Toyota,Innova,157,70704,Manual,first,Petrol,1095000.0
Hyundai,Xcent,133,75000,Manual,first,Diesel,385000.0
Mahindra,Thar,157,75800,Manual,second,Diesel,550000.0
Audi,A4,121,13648,Automatic,first,Diesel,2143000.0
Maruti Suzuki,Swift,133,52000,Manual,first,Diesel,425000.0
Maruti Suzuki,Swift,133,53000,Manual,first,Diesel,330000.0
Maruti Suzuki,Swift,145,65650,Manual,first,Diesel,385000.0
Hyundai,i10,121,54000,Manual,third,Petrol,360000.0
Volkswagen,Vento,121,39000,Manual,first,Petrol,399000.0
Renault,Kwid,97,16542,Manual,first,Petrol,330000.0
Hyundai,i10,181,32000,Manual,first,Petrol,206999.99999999997
Nissan,X-Trail,181,121812,Automatic,first,Diesel,775000.0
Maruti Suzuki,Zen-Estilo,181,39300,Manual,first,Petrol,225000.0
Toyota,Innova,97,22000,Manual,first,Diesel,1650000.0
Ford,Figo,181,72000,Manual,first,Diesel,275000.0
Mercedes-Benz,C-Class,121,58000,Automatic,first,Petrol,2670000.0
Mercedes-Benz,C-Class,169,65000,Manual,second,Diesel,1000000.0
Tata,Indica,109,178000,Manual,first,Diesel,250000.0
Audi,A4,157,65664,Automatic,first,Diesel,1350000.0
Honda,City,217,63000,Automatic,second,Petrol,185000.0
Mercedes-Benz,C-Class,73,15369,Automatic,first,Diesel,3567000.0
Maruti Suzuki,Ertiga,109,63000,Manual,first,Diesel,815000.0
Hyundai,Creta,85,13000,Manual,first,Diesel,1050000.0
Porsche,Cayenne,205,73000,Automatic,first,Petrol,1450000.0
Mahindra,XUV500,121,55729,Manual,first,Diesel,965000.0
Hyundai,i10,157,45178,Automatic,first,Petrol,348000.0
Nissan,Terrano,121,56066,Manual,first,Diesel,692000.0
Honda,Brio,109,37300,Automatic,second,Petrol,646000.0
Audi,A6,133,56000,Automatic,second,Diesel,2950000.0
Ford,Fiesta,205,111111,Manual,first,Diesel,200000.0
Toyota,Innova,229,230000,Manual,third,Petrol,450000.0
Toyota,Innova,157,104000,Manual,first,Diesel,1175000.0
Hyundai,Santro,241,87591,Manual,first,Petrol,130000.0
Maruti Suzuki,Swift,157,95100,Manual,first,Diesel,375000.0
Tata,Zest,97,70000,Manual,first,Petrol,450000.0
Honda,Amaze,109,54944,Manual,first,Petrol,482000.0
Ford,Figo,157,70337,Manual,first,Diesel,280000.0
Maruti Suzuki,Ritz,145,99638,Manual,first,Diesel,311000.0
Honda,City,193,52000,Manual,first,Petrol,325000.0
BMW,5 Series,169,75000,Automatic,second,Diesel,1390000.0
Hyundai,i10,193,95980,Manual,first,Petrol,225000.0
Hyundai,i10,109,16000,Manual,first,Petrol,575000.0
Hyundai,Santro,217,73745,Manual,first,Petrol,210000.0
Honda,Amaze,109,18949,Manual,first,Petrol,500000.0
Toyota,Fortuner,133,107000,Manual,first,Diesel,1650000.0
Audi,A6,85,48367,Automatic,first,Diesel,3958000.0
Ford,Ecosport,145,57000,Manual,first,Diesel,550000.0
Mahindra,XUV500,133,58000,Manual,first,Diesel,810000.0
Honda,Amaze,121,30000,Manual,first,Diesel,350000.0
Volkswagen,Polo,145,34212,Manual,first,Diesel,279000.0
Hyundai,Verna,181,70002,Manual,first,Diesel,345000.0
Maruti Suzuki,Wagon-R,109,62000,Manual,first,Petrol,445000.0
Volkswagen,Polo,181,62001,Manual,first,Petrol,265000.0
Hyundai,i20,169,78958,Manual,second,Diesel,380000.0
Hyundai,i20,133,30180,Manual,first,Petrol,465000.00000000006
Datsun,Go,97,32851,Manual,first,Petrol,395000.0
Audi,A4,181,30000,Automatic,first,Diesel,980000.0000000001
Hyundai,i20,193,66000,Manual,second,Petrol,270000.0
Maruti Suzuki,Omni,181,93850,Manual,first,Petrol,241000.0
Toyota,Etios Liva,133,53000,Manual,first,Petrol,390000.0
Jaguar,XF,169,78000,Automatic,second,Diesel,2400000.0
Mahindra,XUV500,157,65000,Manual,second,Diesel,575000.0
Hyundai,Verna,133,40000,Automatic,first,Diesel,525000.0
Toyota,Innova,97,30000,Automatic,first,Diesel,1925000.0
Maruti Suzuki,Eeco,97,38053,Manual,first,Petrol,391000.0
Tata,Nano,133,25500,Manual,first,Petrol,215000.0
BMW,3 Series,121,56087,Automatic,first,Diesel,2075000.0
Honda,Civic,181,71088,Manual,first,Petrol,335000.0
Toyota,Innova,133,55000,Manual,first,Diesel,1111000.0
Volvo,V40,133,32700,Automatic,first,Diesel,2000000.0
Nissan,Micra,109,39882,Automatic,first,Petrol,655000.0
BMW,5 Series,193,128000,Automatic,first,Petrol,700000.0
Maruti Suzuki,Vitara-Brezza,109,55000,Manual,first,Diesel,750000.0
Lexus,LX,241,102000,Manual,second,Petrol,85000.0
Mercedes-Benz,B-Class,133,53753,Automatic,second,Diesel,1675000.0
Hyundai,Verna,85,10250,Manual,first,Diesel,1095000.0
Maruti Suzuki,Wagon-R,169,43874,Manual,first,Petrol,245000.00000000003
Tata,Nano,97,32684,Automatic,first,Petrol,323000.0
Lexus,LX,133,42000,Manual,first,Diesel,775000.0
Mercedes-Benz,C-Class,193,28352,Automatic,first,Petrol,935000.0
Maruti Suzuki,Wagon-R,145,89900,Manual,first,CNG,325000.0
Honda,CRV,217,47700,Manual,second,Petrol,525000.0
Volkswagen,Vento,121,55000,Automatic,first,Diesel,725000.0
Maruti Suzuki,Ciaz,97,44285,Manual,first,Petrol,747000.0
Mahindra,XUV500,109,54000,Automatic,first,Diesel,1325000.0
Maruti Suzuki,Ritz,109,30232,Manual,first,Petrol,581000.0
Maruti Suzuki,Alto,133,88500,Manual,first,Petrol,260000.0
Mercedes-Benz,AMG,97,13372,Automatic,first,Petrol,5400000.0
Hyundai,Verna,73,12645,Automatic,first,Petrol,1150000.0
Maruti Suzuki,Alto,181,94385,Manual,second,Petrol,160000.0
BMW,1 Series,121,31821,Automatic,first,Diesel,1722000.0
Honda,Jazz,121,12000,Automatic,first,Petrol,600000.0
Honda,Civic,157,88578,Manual,first,Petrol,395000.0
Mercedes-Benz,C-Class,133,44965,Automatic,first,Diesel,1795000.0
Honda,Amaze,133,45044,Manual,first,Diesel,370000.0
Maruti Suzuki,Swift,109,34204,Manual,first,Petrol,543000.0
Lexus,LX,205,80759,Manual,third,Petrol,167000.0
Toyota,Fortuner,157,91235,Manual,first,Diesel,1349000.0
Chevrolet,Beat,133,38800,Manual,first,Petrol,285000.0
Skoda,Rapid,145,83000,Manual,first,Diesel,475000.0
Maruti Suzuki,Ciaz,85,41283,Manual,first,Petrol,990000.0
Audi,RS5,145,23000,Automatic,first,Petrol,3700000.0
BMW,3 Series,133,48000,Automatic,first,Diesel,2650000.0
Audi,A4,121,48214,Automatic,first,Diesel,2332000.0
Maruti Suzuki,Swift,109,35000,Manual,first,Diesel,625000.0
Mercedes-Benz,S-Class,181,35277,Automatic,first,Petrol,3000000.0
Skoda,Rapid,109,54620,Automatic,first,Diesel,986000.0
Skoda,Superb,157,136997,Automatic,first,Diesel,850000.0
Hyundai,Eon,73,14322,Manual,first,Petrol,423000.00000000006
Volkswagen,Polo,157,65634,Manual,first,Diesel,350000.0
Datsun,Go,109,6000,Manual,first,Petrol,250000.0
Honda,Brio,145,33280,Manual,first,Petrol,239000.0
Mercedes-Benz,B-Class,145,29000,Automatic,first,Petrol,1125000.0
Honda,City,121,42831,Manual,first,Diesel,711000.0
Toyota,Innova,109,90000,Manual,first,Diesel,1090000.0
Maruti Suzuki,Swift,97,24005,Manual,first,Petrol,620000.0
Mahindra,XUV500,157,32792,Manual,first,Diesel,790000.0
Ford,Ecosport,133,147898,Manual,first,Diesel,442000.0
Toyota,Fortuner,157,131765,Manual,first,Diesel,1350000.0
Volkswagen,Vento,145,65000,Automatic,first,Diesel,625000.0
Ford,Figo,181,66123,Manual,second,Diesel,210000.0
